seed,dim,R,lambda
706709984,2,2,0.5
1393069320,2,2,0.5
2104229928,2,2,0.5
2969735752,2,2,0.5
2775284208,2,2,0.5
2215360248,2,2,0.5
3176091440,2,2,0.5
1882341336,2,2,0.5
215743536,1,50,1.0
1997738688,1,50,1.0
4184389800,1,50,1.0
554639584,1,50,1.0
2470508664,1,50,1.0
942591520,1,50,1.0
3360964824,1,50,1.0
749970240,1,50,1.0
3813084888,1,50,1.0
3958961744,1,50,1.0
2776125824,1,50,1.0
4194499976,1,50,1.0
951776424,1,50,1.0
3434775944,1,50,1.0
3390507760,1,50,1.0
578413984,1,50,1.0
1808849032,1,50,1.0
603023744,1,50,1.0
2896665672,1,50,1.0
4031330752,1,50,1.0
3472750536,1,50,1.0
3183383056,1,50,1.0
284303584,1,50,1.0
365711864,1,50,1.0
2106995088,1,50,1.0
1459479432,1,50,1.0
3728234544,1,50,1.0
2060744992,1,50,1.0
1462552592,1,50,1.0
2884672520,1,50,1.0
3235621448,1,50,1.0
2430400600,1,50,1.0
3438671352,1,50,1.0
3359335728,1,50,1.0
2220763248,1,50,1.0
1773501064,1,50,1.0
3619812680,1,50,1.0
3164461056,1,40,1.0
2281570288,1,40,1.0
